paper_type,revenue,returned_at,review,shipping_address,shipping_latitude,shipping_longitude,shipping_mode,order_id,purchased_at,status,cancelled_at,product_id,product_name,price,discount,shipping_cost,quantity,business_size,payment_cycle,account_id,account_name,order_contact_name,order_contact_email,account_manager,days_to_close,shipping_city,shipping_state,shipping_zip,shipping_region,days_to_ship,reviewed_at,rating,index,Sentimental Analysis
Multipurpose,90150,,Account manager was not responsive,11174 Grayhawk Lane,29.89894,-89.895262,EXPRESS,d1e7d106-fe43-4511-9764-a0f515454890,18-11-2021 02:39,COMPLETED,,TR56962-LQO,"TRU RED,¢ Multipurpose Paper, 20 lbs., 96 Bright, 500 /Ream, 10 Reams/Carton, 40 Cartons/Pallet",1803,,100,50,486,WEEK,60906229fc13ae0a6b0001a5,Morissette PLC,Spork Pig,spork@morissette.com,Phyllis Vance,98,West Annamarieport,FL,70093,South,3,29-11-2021 10:49,3,9,Negative
Cardstock,738,,Average. Prince Paper has better shipping options and more selections.,5 Prairie Rose Way,42.028057,-87.810967,EXPRESS,0da14751-bb79-4c55-8845-abffdf993bc8,22-11-2021 11:04,COMPLETED,,91335,"Neenah Paper Creative Collection Basic 8.5"" x 11"" Cardstock Paper, 65 lbs., 50 Sheets/Pack",3.69,,100,200,605,BIWEEK,60906229fc13ae0a6b00021a,Bailey-King,Chops Pig,chops@bailey-king.com,Kevin Malone,82,New Jesusland,WY,60744,West,7,04-12-2021 01:43,3,2,Neutral
Multipurpose,1319.8,,Average. Prince Paper has better shipping options and more selections.,73 Elmside Center,41.307372,-80.603473,REGULAR,24a4d4ca-d121-4beb-bbd0-af13ab522362,24-02-2021 11:07,COMPLETED,,3R02047,"Xerox Vitality Multipurpose Paper, 8.5"" x 11"", 20 lbs., White, 500 Sheets/Ream, 10 Reams/Carton",65.99,3.96,,20,583,ANNUAL,60906229fc13ae0a6b0003a4,Mertz-Lang,Cheri Cub,cheri@mertz-lang.com,Oscar Martinez,65,Kohlerborough,SD,44419,Midwest,5,27-03-2021 06:04,3,1,Neutral
Printer,2259.3,,Average. Prince Paper has better shipping options and more selections.,19 Morningstar Street,34.236302,-118.249185,REGULAR,28a6955e-d9a1-4f04-a687-7207bb3f5f2e,14-02-2021 05:24,COMPLETED,,191259,"JAM Paper Strathmore 24lb Paper, 8.5 x 11, Ivory Wove, 100 Sheets/Pack",13.29,,,170,794,BIWEEK,60906229fc13ae0a6b0000bd,Bosco-Bins,Boris Pig,boris@bosco-bins.com,Phyllis Vance,8,Sauertown,WV,91239,South,7,10-03-2021 16:26,3,9,Neutral
Multipurpose,345013.5,,Average. Prince Paper has better shipping options and more selections.,2474 West Junction,40.668934,-73.458448,EXPRESS,59da2200-7982-44c3-a728-a146262da029,27-07-2021 04:25,COMPLETED,,2700-LQO,"EarthChoice Multipurpose Paper, 20 lbs., 92 Brightness, 40 Cases/Pallet",2300.09,,100,150,4248,ANNUAL,60906229fc13ae0a6b0002f5,"Predovic, Will and Weimann",Timbra Sheep,timbra@predovic.com,Dwight Schrute,0,North Eudora,AZ,11759,West,6,08-08-2021 15:56,3,12,Neutral
Printer,2769.9,,Average. Prince Paper has better shipping options and more selections.,69 Grover Parkway,41.766607,-72.691149,REGULAR,5c8323d0-0fe5-48bf-9cec-d27950c31eb3,17-10-2021 21:28,COMPLETED,,20270,"Astrobrights Color Paper, 24 lb./89 gsm, Neon 5-Color Assortment, 500 Sheets/Pack",13.19,,,210,218,MONTH,60906229fc13ae0a6b000129,"Sauer, Schuster and Hammes",Cyd Elephant,cyd@sauer.com,Erin Hannon,16,South Teagan,CO,6200,West,9,10-11-2021 22:12,3,5,Neutral
Cardstock,20626.8,,Average. Prince Paper has better shipping options and more selections.,17310 Loomis Circle,31.511701,-81.443246,EXPRESS,6ebc92c4-4b6a-453b-a803-86d44baa349d,10-09-2021 14:35,COMPLETED,,3R11458,"Xerox Bold 8.5"" x 11"" Cardstock Paper, 80 lbs, 94 Brightness, 250/Ream, 8 Reams/Carton",171.89,29.22,100,120,1574,ANNUAL,60906229fc13ae0a6b0002f7,Feest-Nicolas,Tammy Cub,tammy@feest-nicolas.com,Meredith Palmer,72,New Hassiefurt,NJ,31332,Northeast,0,24-09-2021 00:26,3,1,Neutral
Cardstock,738,,Average. Prince Paper has better shipping options and more selections.,42747 Northfield Place,40.615333,-115.594252,EXPRESS,8d99fb95-e11d-4043-a141-45aca7190994,23-06-2021 19:26,COMPLETED,,91335,"Neenah Paper Creative Collection Basic 8.5"" x 11"" Cardstock Paper, 65 lbs., 50 Sheets/Pack",3.69,,100,200,256,MONTH,60906229fc13ae0a6b000370,Feil-Marvin,Tia Elephant,tia@feil-marvin.com,Creed Patton,8,Port Elnora,SD,89816,Midwest,2,17-07-2021 03:21,3,13,Neutral
Copy,28780,,Average. Prince Paper has better shipping options and more selections.,50814 Moulton Road,38.715463,-121.363422,EXPRESS,a7ef1a72-a8d4-4f0b-8fd9-1489111cec2e,05-08-2021 21:44,COMPLETED,,324791-LQO,"Copy Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 40 Cases/Pallet",1439,,100,20,638,ANNUAL,60906229fc13ae0a6b00033a,Dietrich LLC,Bubbles Hippo,bubbles@dietrich.com,Erin Hannon,33,Kalebshire,WV,95860,South,3,16-08-2021 01:48,3,4,Neutral
Kraft Roll,356,,Average. Prince Paper has better shipping options and more selections.,15408 Briar Crest Point,39.327618,-94.226953,EXPRESS,a8c3b443-a7df-4104-ab2a-727776ff6303,15-04-2021 14:15,COMPLETED,,C2130240ST,"Delta Paper Kraft Paper Roll, Brown, 30 lbs., 24"" x 1200', 1 Roll",35.6,4.63,100,10,632,ANNUAL,60906229fc13ae0a6b00027e,Gottlieb Ltd,Sally Squirrel,sally@gottlieb.com,Kevin Malone,25,South Jordon,CA,64026,West,7,06-05-2021 17:08,3,5,Neutral
Multipurpose,5473.3,,Average. Prince Paper has better shipping options and more selections.,33337 Stone Corner Hill,43.044371,-78.777335,REGULAR,baa02810-6eee-4508-bf2b-3eaf327daf96,14-09-2021 20:10,COMPLETED,,OX9001,"Boise X-9 Multipurpose Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 10 Reams/Carton",78.19,,,70,392,WEEK,60906229fc13ae0a6b000285,"Cruickshank, Hyatt and Paucek",Maelle Duck,maelle@cruickshank.com,Dwight Schrute,135,New Jolieborough,NY,14244,Northeast,1,02-10-2021 13:56,3,6,Neutral
Multipurpose,12510.4,,Average. Prince Paper has better shipping options and more selections.,4983 Southridge Lane,36.91499,-89.222879,EXPRESS,bed50ebe-0297-452d-9164-f780554461e1,16-11-2021 09:47,COMPLETED,,OX9001,"Boise X-9 Multipurpose Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 10 Reams/Carton",78.19,,100,160,698,BIWEEK,60906229fc13ae0a6b000320,Lind-Schuster,Ribbot Frog,ribbot@lind-schuster.com,Meredith Palmer,67,West Velvafort,WV,63889,South,3,04-12-2021 14:35,3,12,Neutral
Copy,43170,,Average. Prince Paper has better shipping options and more selections.,4875 Towne Terrace,45.426416,-122.442992,EXPRESS,c6faa318-1574-420a-9495-d73a37d60980,11-09-2021 09:14,COMPLETED,,324791-LQO,"Copy Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 40 Cases/Pallet",1439,,100,30,701,ANNUAL,60906229fc13ae0a6b0000a8,Wyman-Hammes,Sally Squirrel,sally@wyman-hammes.com,Ryan Howard,25,Lionelburgh,ME,97097,Northeast,0,24-09-2021 15:29,3,12,Neutral
Kraft Roll,1199.8,,Average. Prince Paper has better shipping options and more selections.,039 Westridge Court,42.970338,-83.65859,REGULAR,d78e651d-3e89-41b9-b124-812e529fa243,12-09-2021 00:51,COMPLETED,,310-36-40,"Delta Paper Butcher Paper Roll, White, 40 lbs., 36"" x 1000', 1 Roll",59.99,6.6,,20,594,ANNUAL,60906229fc13ae0a6b00014f,Lowe-Hermann,Dotty Rabbit,dotty@lowe-hermann.com,Meredith Palmer,14,Sanfordview,HI,48530,West,9,25-09-2021 21:58,3,7,Neutral
Copy,287800,,Average. Prince Paper has better shipping options and more selections.,5 Jackson Court,38.733371,-76.593148,EXPRESS,e350684d-9e17-4bff-85b4-0a75b68438e0,07-12-2021 01:51,COMPLETED,,324791-LQO,"Copy Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 40 Cases/Pallet",1439,,100,200,190,MONTH,60906229fc13ae0a6b00020b,"Grant, Farrell and Macejkovic",Anchovy Bird,anchovy@grant.com,Angela Martin,125,West Nella,RI,20758,Northeast,0,03-01-2022 09:03,3,3,Neutral
Copy,287800,,Average. Prince Paper has better shipping options and more selections.,9030 Tomscot Park,39.791562,-75.22414,EXPRESS,f7688e0a-b6be-4990-95a2-5d342c1c892a,30-05-2021 18:54,COMPLETED,,324791-LQO,"Copy Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 40 Cases/Pallet",1439,,100,200,141,MONTH,60906229fc13ae0a6b000395,"Howe, Gusikowski and Larson",Rhonda Rhino,rhonda@howe.com,Angela Martin,30,Whitetown,MS,8020,South,5,23-06-2021 16:30,3,11,Neutral
Multipurpose,252420,,AVOID THIS PLACE WITH YOUR LIFE,47 Declaration Circle,37.768106,-122.386927,EXPRESS,3f87a9b0-d883-4f16-a267-1751a7d231d5,08-04-2021 14:25,COMPLETED,,TR56962-LQO,"TRU RED,¢ Multipurpose Paper, 20 lbs., 96 Bright, 500 /Ream, 10 Reams/Carton, 40 Cartons/Pallet",1803,,100,140,102,MONTH,60906229fc13ae0a6b00035f,Lesch-Vandervort,Opal Elephant,opal@lesch-vandervort.com,Dwight Schrute,57,West Celestino,SD,94289,Midwest,1,22-04-2021 19:56,1,8,Negative
Cardstock,10313.4,,"Beware! Once they lock you into a contract, it's extremely difficult to change or get out of it",67990 Farmco Place,37.902226,-122.317378,REGULAR,3f87af65-9faf-4949-8c3a-a2d9ee01ac9c,08-12-2021 19:44,COMPLETED,,3R11458,"Xerox Bold 8.5"" x 11"" Cardstock Paper, 80 lbs, 94 Brightness, 250/Ream, 8 Reams/Carton",171.89,25.78,,60,4645,ANNUAL,60906229fc13ae0a6b000137,"Farrell, Cruickshank and Hettinger",Megan Bear,megan@farrell.com,Dwight Schrute,13,Laishaport,DE,94891,South,5,22-12-2021 13:30,2,3,Negative
Printer,1846.6,,"Beware! Once they lock you into a contract, it's extremely difficult to change or get out of it",2956 Melrose Circle,46.543655,-121.023317,REGULAR,5325cc75-fcbd-4b48-ad51-c25fdae95625,26-02-2021 17:37,COMPLETED,,20270,"Astrobrights Color Paper, 24 lb./89 gsm, Neon 5-Color Assortment, 500 Sheets/Pack",13.19,,,140,705,WEEK,60906229fc13ae0a6b0002ce,Rippin LLC,Queenie Ostrich,queenie@rippin.com,Dwight Schrute,122,East Simhaven,NY,98904,Northeast,3,14-03-2021 20:59,2,15,Negative
Multipurpose,11878.2,,"Beware! Once they lock you into a contract, it's extremely difficult to change or get out of it",4 Linden Way,30.022752,-81.406577,REGULAR,aa79e448-f6a8-483a-89f7-766da190d6aa,13-12-2021 08:43,COMPLETED,,3R02047,"Xerox Vitality Multipurpose Paper, 8.5"" x 11"", 20 lbs., White, 500 Sheets/Ream, 10 Reams/Carton",65.99,10.56,,180,998,WEEK,60906229fc13ae0a6b000173,Bednar-Kunze,Pango Anteater,pango@bednar-kunze.com,Dwight Schrute,77,Lake Felicityton,OH,32095,Midwest,3,02-01-2022 18:33,2,9,Negative
Multipurpose,162270,,"Beware! Once they lock you into a contract, it's extremely difficult to change or get out of it",7648 Monterey Circle,42.965044,-72.294803,EXPRESS,d3b940e5-c783-4b7b-b42a-8ff306a7bc4b,25-06-2021 20:27,COMPLETED,,TR56962-LQO,"TRU RED,¢ Multipurpose Paper, 20 lbs., 96 Bright, 500 /Ream, 10 Reams/Carton, 40 Cartons/Pallet",1803,,100,90,520,WEEK,60906229fc13ae0a6b00009b,"O'Hara, Smith and Luettgen",Filbert Squirrel,filbert@ohara.com,Dwight Schrute,143,East Sabrina,PA,3439,Northeast,0,23-07-2021 15:25,2,7,Negative
Cardstock,73.8,,"Beware! Once they lock you into a contract, it's extremely difficult to change or get out of it",73 Dunning Road,38.404576,-82.360178,REGULAR,f7e07611-c258-4ed8-8321-12ce7ac093ec,26-05-2021 17:08,COMPLETED,,91335,"Neenah Paper Creative Collection Basic 8.5"" x 11"" Cardstock Paper, 65 lbs., 50 Sheets/Pack",3.69,,,20,925,ANNUAL,60906229fc13ae0a6b0000cc,Kiehn-Krajcik,Gladys Ostrich,gladys@kiehn-krajcik.com,Dwight Schrute,47,Lake Dandre,AL,25728,South,5,13-06-2021 01:32,2,4,Negative
Printer,2110.4,,Decent company. Wish they expanded their product offering.,11 Bayside Park,36.724637,-110.612172,EXPRESS,06c62e43-342b-41d1-ac5b-bd2222e150d4,19-04-2021 00:00,COMPLETED,,20270,"Astrobrights Color Paper, 24 lb./89 gsm, Neon 5-Color Assortment, 500 Sheets/Pack",13.19,,100,160,190,MONTH,60906229fc13ae0a6b0002b4,"Anderson, Armstrong and Hane",Big Top Elephant,big top@anderson.com,Phyllis Vance,103,Tillmantown,ME,86124,Northeast,1,14-05-2021 14:10,3,12,Positive
